open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
510.0,510.0,482.0,490.5,98188.0,,,490.5,,,1.0,0.0,POLR.L,XLON,2025-02-05T00:00:00+0000
483.0,504.0,483.0,486.0,91184.0,,,486.0,,,1.0,0.0,POLR.L,XLON,2025-02-04T00:00:00+0000
510.0,510.0,482.5,489.0,125891.0,,,489.0,,,1.0,0.0,POLR.L,XLON,2025-02-03T00:00:00+0000
498.0,503.0,486.0,501.0,217491.0,,,501.0,,,1.0,0.0,POLR.L,XLON,2025-01-31T00:00:00+0000
486.5,496.5,480.0,494.5,95552.0,,,494.5,,,1.0,0.0,POLR.L,XLON,2025-01-30T00:00:00+0000
492.5,494.5,482.5,482.5,113438.0,,,482.5,,,1.0,0.0,POLR.L,XLON,2025-01-29T00:00:00+0000
493.0,495.5,484.635,490.5,105817.0,,,490.5,,,1.0,0.0,POLR.L,XLON,2025-01-28T00:00:00+0000
500.0,529.0,486.0,488.5,338484.0,,,488.5,,,1.0,0.0,POLR.L,XLON,2025-01-27T00:00:00+0000
516.0,529.0,510.0,510.0,131568.0,,,510.0,,,1.0,0.0,POLR.L,XLON,2025-01-24T00:00:00+0000
518.0,528.0,513.0,523.0,81057.0,,,523.0,,,1.0,0.0,POLR.L,XLON,2025-01-23T00:00:00+0000
516.0,519.0,509.924,512.0,91717.0,,,512.0,,,1.0,0.0,POLR.L,XLON,2025-01-22T00:00:00+0000
513.0,519.0,506.0,516.0,114689.0,,,516.0,,,1.0,0.0,POLR.L,XLON,2025-01-21T00:00:00+0000
518.0,519.0,511.0,513.0,118221.0,,,513.0,,,1.0,0.0,POLR.L,XLON,2025-01-20T00:00:00+0000
504.0,518.0,495.5,511.0,132237.0,,,511.0,,,1.0,0.0,POLR.L,XLON,2025-01-17T00:00:00+0000
492.0,505.0,484.5,500.0,144169.0,,,500.0,,,1.0,0.0,POLR.L,XLON,2025-01-16T00:00:00+0000
483.0,497.0,475.0,496.5,199899.0,,,496.5,,,1.0,0.0,POLR.L,XLON,2025-01-15T00:00:00+0000
483.0,491.57,481.0,482.5,172796.0,,,482.5,,,1.0,0.0,POLR.L,XLON,2025-01-14T00:00:00+0000
499.5,506.342,482.453,483.0,294368.0,,,483.0,,,1.0,0.0,POLR.L,XLON,2025-01-13T00:00:00+0000
492.0,499.5,480.5,480.5,238957.0,,,480.5,,,1.0,0.0,POLR.L,XLON,2025-01-10T00:00:00+0000
483.0,496.5,480.995,489.5,128800.0,,,489.5,,,1.0,0.0,POLR.L,XLON,2025-01-09T00:00:00+0000
520.0,520.0,483.5,487.0,197154.0,,,487.0,,,1.0,0.0,POLR.L,XLON,2025-01-08T00:00:00+0000
515.0,515.0,493.5,496.5,189174.0,,,496.5,,,1.0,0.0,POLR.L,XLON,2025-01-07T00:00:00+0000
512.0,518.8,501.0,510.0,117827.0,,,510.0,,,1.0,0.0,POLR.L,XLON,2025-01-06T00:00:00+0000
510.0,519.0,500.0,509.0,39801.0,,,509.0,,,1.0,0.0,POLR.L,XLON,2025-01-03T00:00:00+0000
509.0,518.0,504.405,509.0,74826.0,,,509.0,,,1.0,0.0,POLR.L,XLON,2025-01-02T00:00:00+0000
